,predict_y,true_y
341,3.0,2.4
342,1.3999999999999997,1.0
343,3.15,2.0
344,1.8,2.2
345,1.8,2.2
346,1.2,1.4
347,1.55,2.4
348,2.2,2.7
349,2.2,2.2
350,2.8,2.8
351,2.3,2.9
352,2.2,2.35
353,2.6,2.7
354,2.17,2.3
355,2.3,2.1
356,2.1999999999999997,2.4
357,2.0,2.0
358,6.0,2.3
359,7.2,2.1
360,2.4,2.6
361,4.2,4.91
362,2.8,3.6
363,4.8,3.8
364,5.0,5.0
365,4.8,5.2
366,6.0,6.6
367,4.4,3.2
368,5.0,5.6
369,2.33,2.67
370,3.2000000000000006,3.2
371,3.4,1.6
372,3.3999999999999995,5.8
373,3.6,3.8
374,4.0,6.4
375,6.0,6.0
376,2.8,2.6
377,4.5,4.0
378,4.0,2.8
379,3.4,3.4
380,1.2,1.9
381,1.8,2.3
382,1.8,2.2
383,2.3000000000000003,2.5
384,1.8,2.9
385,1.3,1.45
386,2.6,2.4
387,2.26,2.23
388,1.8,2.1
389,2.8000000000000003,3.0
390,2.4,1.7
391,3.1,2.65
392,1.3999999999999997,1.4
393,2.2,1.4
394,1.8000000000000005,2.0
395,1.799999999999998,2.6
396,4.6,3.4
397,1.75,1.8
398,1.4,2.15
399,2.0,2.2
400,2.45,2.1
401,2.4,2.0
402,3.1,2.65
403,1.3999999999999997,1.4
404,2.2,1.3
405,1.0,1.1
